"industry","investor","Unicorn_Count"
"E-commerce & direct-to-consumer","global founders capital",2
"Internet software & services","global founders capital",2
"Consumer & retail","global founders capital",1
"Fintech","global founders capital",1
"Supply chain, logistics, & delivery","global founders capital",1
"Travel","global founders capital",1
"Supply chain, logistics, & delivery","global logistic properties",1
"Mobile & telecommunications","globis capital partners",1
"Artificial intelligence","glory ventures",1
"Supply chain, logistics, & delivery","glp capital partners",2
"Fintech","gmo venturepartners",1
"Internet software & services","go-ventures",1
"E-commerce & direct-to-consumer","gobi partners",1
"Internet software & services","goldcrest capital",1
"Fintech","goldentree asset management",1
"Other","goldman sachs",4
"Artificial intelligence","goldman sachs",3
"Fintech","goldman sachs",2
"Cybersecurity","goldman sachs",1
"Data management & analytics","goldman sachs",1
"Hardware","goldman sachs",1
"Health","goldman sachs",1
"Internet software & services","goldman sachs",1
"Supply chain, logistics, & delivery","goldman sachs",1
"Travel","goldman sachs",1
"Internet software & services","goldman sachs asset management",2
"Hardware","goldman sachs asset management",1
"Hardware","goldstone investments",1
"Fintech","goodwater capital",2
"Internet software & services","goodwater capital",1
"Supply chain, logistics, & delivery","goodwater capital",1
"Auto & transportation","gopher asset management",1
"E-commerce & direct-to-consumer","gp capital",1
"Fintech","grab",1
"Internet software & services","gradient ventures",1
"Hardware","grand flight investment",1
"Supply chain, logistics, & delivery","grandland",1
"Internet software & services","grayhawk capital",1
"Fintech","greatpoint ventures",2
"Health","green innovations",1
"Hardware","green pine capital partners",2
"Health","green pine capital partners",1
"Fintech","green visor capital",1
"E-commerce & direct-to-consumer","greenoaks capital management",1
"Fintech","greenoaks capital management",1
"Health","greenoaks capital management",1
"Fintech","greycroft",4
"Artificial intelligence","greycroft",2
"E-commerce & direct-to-consumer","greycroft",2
"Cybersecurity","greycroft",1
"Mobile & telecommunications","greycroft",1
"Fintech","greyhound capital",1
"Data management & analytics","greylock partners",3
"Internet software & services","greylock partners",3
"Cybersecurity","greylock partners",2
"Artificial intelligence","greylock partners",1
"Auto & transportation","greylock partners",1
"E-commerce & direct-to-consumer","greylock partners",1
"Health","greylock partners",1
"Supply chain, logistics, & delivery","greylock partners",1
"Artificial intelligence","griffin gaming partners",1
"E-commerce & direct-to-consumer","gron ventures",1
"Fintech","group 11",1
"Artificial intelligence","group gsr ventures",1
"Fintech","group11",1
"Fintech","gs growth",2
"Consumer & retail","gs growth",1
"Internet software & services","gs growth",1
"Internet software & services","gsr ventures",2
"Edtech","gsv ventures",1
"Internet software & services","gsv ventures",1
"Artificial intelligence","guangdong technology financial group",1
"Auto & transportation","guangzhou huiyin aofeng equity investment fund",1
